com.samsung.health.sleep
time_offset,end_time,pkg_name,start_time,custom,comment,datauuid,deviceuuid,update_time,create_time
7200000,2016-01-07 07:20:00.000,com.sec.android.app.shealth,2016-01-06 21:20:00.000,,,7070517c-e642-4e82-9767-6955731e791a,1jGJNdpU+S,2016-01-07 13:33:11.645,2016-01-07 13:33:11.645
10800000,2016-06-01 08:20:00.000,com.sec.android.app.shealth,2016-05-31 23:30:00.000,,,0d925353-b8e8-46f2-87c0-c29a08996888,1jGJNdpU+S,2016-06-01 11:53:15.277,2016-06-01 11:53:15.277
7200000,2016-01-18 08:40:00.000,com.sec.android.app.shealth,2016-01-17 23:30:00.000,,,c2e655d4-b0bd-4c22-996b-6ce1c4617b3d,1jGJNdpU+S,2016-01-18 12:03:45.749,2016-01-18 12:03:45.749
10800000,2016-04-12 08:00:00.000,com.sec.android.app.shealth,2016-04-11 23:30:00.000,,,d28a5b80-768a-40f6-9560-f31c0ee7b36f,1jGJNdpU+S,2016-04-12 11:01:14.585,2016-04-12 11:01:14.585
10800000,2016-06-26 11:40:00.000,com.sec.android.app.shealth,2016-06-26 04:00:00.000,,,5c93b6f7-993b-4ca6-aa86-e016a075196b,1jGJNdpU+S,2016-06-26 12:10:16.077,2016-06-26 12:10:16.077
7200000,2016-01-06 09:40:00.000,com.sec.android.app.shealth,2016-01-05 22:30:00.000,,,45d9e994-f08b-4ed6-b104-08739551300f,1jGJNdpU+S,2016-01-06 14:01:05.708,2016-01-06 14:01:05.708
7200000,2015-12-26 09:40:00.000,com.sec.android.app.shealth,2015-12-26 04:10:00.000,,,2b8f94a8-fab2-49fd-a886-f7d5bd2376ca,1jGJNdpU+S,2015-12-26 12:35:08.212,2015-12-26 12:35:08.212
10800000,2016-06-10 08:10:00.000,com.sec.android.app.shealth,2016-06-09 23:30:00.000,,,881cbf9d-b264-4a8a-a77c-06ffb0455bef,1jGJNdpU+S,2016-06-10 12:32:23.271,2016-06-10 12:32:23.271
7200000,2016-02-24 08:00:00.000,com.sec.android.app.shealth,2016-02-23 23:20:00.000,,,2af38d3c-64ba-4bdc-8213-842b6afdaa9a,1jGJNdpU+S,2016-02-24 12:02:58.033,2016-02-24 12:02:58.033
7200000,2016-01-02 09:40:00.000,com.sec.android.app.shealth,2016-01-02 06:10:00.000,,,aacb2725-7419-4b01-aaaa-be42bbe10580,1jGJNdpU+S,2016-01-02 12:00:48.160,2016-01-02 12:00:48.160
